"GeneSymbol","Log2FoldChange","DirectionalFoldChange"
"EOLA2-DT",1.35442515787075,2.55695214145865
"CNTNAP2",-2.76872485005174,-6.81505287377692
"FRMD8",-1.17719405516143,-2.26136528729716
"GPR37",-1.56011174897114,-2.94876683274575
"SLC16A6",1.17350183334966,2.25558528049269
"LOC105372862",1.64995631842922,3.13824137123689
"P3H2",-2.11359831741041,-4.3276934716214
"KIF1C-AS1",1.27417313843067,2.41860159163136
"PLSCR4",-1.24894158036734,-2.37666996870888
"SORBS1",-1.01162590124701,-2.0161820349176
"ZNF703",-1.08054212704335,-2.11483062983707
"LOC100233156",1.12312019354546,2.17817549087145
"COL5A2",1.3039111319156,2.46897312366156
"SKAP1",1.12915871228692,2.18731153000617
"RHOU",-1.21708771482536,-2.32476955506367
"LOC105373424",-1.44069536549125,-2.71451671125361
"COL12A1",-1.13550126766213,-2.19694882982902
"FAM111B",-1.22170272056766,-2.33221811692599
"IQCJ-SCHIP1",-1.14320600754459,-2.2087130617856
"SCHIP1",-1.14177469356184,-2.20652285934725
"TRNF",1.91784901591602,3.77859269772945
"ACTA2",1.38896370979719,2.61890496821989
"ACBD7",-1.35791475521914,-2.56314439487298
"SMAD6",-1.20197508184332,-2.30054405147612
"SCG2",1.2603550379132,2.39554686528505
"ICA1",1.05159569791292,2.07282123144996
"SNHG9",-1.78554856701702,-3.44749525726158
"TMSB15A",-1.30741869320986,-2.47498313290557
"FRAT2",1.10401387900498,2.14951902439978
"SLC22A18",1.25520985412792,2.38701867606402
"TRNL1",1.13082758746167,2.18984322377478
"SLC26A7",1.54055606293574,2.90906606997392
"ZBED2",1.33385142340206,2.5207471695165
"IQCG",1.06228551394476,2.08823708272395
"TLR6",1.15180344191393,2.22191471484283
"RNA18SN3",-1.00620113160128,-2.00861509562686
"LRIG1",-1.04231206856115,-2.05952561352803
"CTSD",1.08486371777843,2.12117509935615
"DMBX1",-1.06682589613585,-2.09481943696787
"NRGN",-1.14423248918455,-2.21028512663212
"NRIP1",1.03455981340855,2.04848852798139
"ZBTB18",-1.06432295139777,-2.09118826647447
"GARS1-DT",1.22518010639452,2.33784633620215
"TRNV",1.39673165897172,2.63304405283057
"GPNMB",2.13699563280476,4.39845128264629
"SYNE3",-1.01953867874009,-2.0272706087187
"CHASERR",1.01401611939814,2.01952515945492
"LINC01278",1.11647620195771,2.16816748007166
"C11orf71",1.45142858825473,2.73478721942165
"CD22",1.12725349085243,2.18442487535675
"RNA18SN2",-1.10840404068977,-2.15607003379253
"TGM2",-1.12067090589056,-2.17448070291602
"GRAMD2A",1.06610368352039,2.09377103355277
"LINC01963",1.03079203629075,2.04314562586419
"SNAI2",-1.96078766346563,-3.89274451850007
"KRTAP2-4",1.3400636394045,2.5316248591812
"APOBEC3B-AS1",-1.47080754105301,-2.77176998593308
"LINC02832",1.6337762486394,3.1032420898143
"MRM1",1.18006043981726,2.26586269395009
"IL22RA1",-1.18597656085554,-2.27517349120862
"AANAT",1.72413257506881,3.30381424661629
"FZD1",-1.10289597518581,-2.14785406769877
"PRMT6",1.06457731358911,2.0915569972936
"PURPL",1.19711802735857,2.29281193948743
"TNFSF9",1.0313541346575,2.04394182502158
"ISL1",-1.75711093789128,-3.3802054529038
"LPAR5",-1.10302052451227,-2.14803950212363
"LZTS1",-1.16029362188785,-2.23502911009842
"LINC01806",1.20106138583363,2.29908751882291
"NALT1",1.71206990582717,3.27630554106665
"RPSAP52",2.01410507337868,4.03929936716334
"NCALD",-2.27124814335949,-4.82740592067108
"KBTBD8",-1.19047235329135,-2.28227454973707
"MIR17HG",1.09278042419999,2.13284692118412
"FLJ20021",1.12891978279624,2.18694931211427
"LOC107984500",1.01382631798066,2.01925948756028
"SUSD4",-2.0898298929933,-4.25697876329407
"SIX2",-2.08442622185105,-4.24106390500954
"CEACAM19",1.18027871234887,2.26620553355774
"DOCK11",-1.55710582613558,-2.94262933474209
"LOC400499",1.18161326741526,2.26830284120839
"B3GLCT",-1.14253033301806,-2.20767887112537
"VSIG10L",1.12450001861457,2.18025974207064
"ALKBH6",1.15288651813666,2.22358340189929
"DNHD1",1.16417105132387,2.24104411921611
"MKNK2",1.37798885827497,2.59905805268414
"LOC105372578",1.7197912405428,3.2938874056867
"ZNF503-AS1",1.41471938981724,2.66607874034983
"LINP1",1.82931416766867,3.55368096443855
"CALHM3",-1.95455960271071,-3.87597590618747
"CYP4F2",-1.3864308085032,-2.61431106033569
"GPR15",1.48636031820369,2.80181231696176
"LOC105373888",1.34750108852222,2.54470970919124
"HYAL1",1.1544296644451,2.22596308034104
"FAM219A",1.32374573494782,2.50315171520156
"PLEKHD1",-1.11481377646831,-2.16567052757323
"RGL1",-1.21406657482405,-2.31990636129144
"TET1",-1.03714943081157,-2.0521688382782
"ADAMTS15",-1.33424957990684,-2.52144294399496
"TRAK2",-1.01052536918182,-2.01464461583819
