"GeneSymbol","Log2FoldChange","DirectionalFoldChange"
"AAMP",1.08061343362146,2.11493515994082
"GPT2",1.2613419057455,2.39718608690183
"PPIL1",-1.46626891971607,-2.76306388600283
"CORO7",1.84429173098625,3.59076622711473
"MIDN",1.19847678779049,2.29497237504703
"CFD",2.62494512504465,6.16860866537581
"PIM1",2.58287107293456,5.99130829791845
"RNF149",1.05834389278624,2.08253954765185
"USP35",1.81980106805178,3.53032515817336
"ANP32B",-1.03135371232407,-2.04394122667971
"CORO1A",3.79387271740913,13.8697772932604
"NAB2",1.49308052319793,2.81489385795581
"ADAM8",1.61574244743327,3.06469275700056
"EZR",1.191531816926,2.28395118608785
"DDIT3",3.82631520032029,14.1852060354276
"CHTF18",1.1081678167412,2.15571703217577
"CCDC64B",1.22040101422591,2.33011476601075
"PRKCD",1.70530879635773,3.26098724094588
"PPP1R9B",1.30980527208896,2.47908076311452
"CPEB4",2.7680376332696,6.81180734835747
"SLC6A10P",1.28203926371223,2.43182474886848
"KANK2",1.30762155656259,2.47533117505151
"NFKBIE",1.79391448139212,3.46754470238188
"CLDN2",-1.80442123396914,-3.49289005970718
"PAQR5",1.09604333888894,2.13767619773931
"C17orf89",-1.1810818675989,-2.26746749228616
"SH2B2",3.0221776269857,8.12392897687694
"SPTAN1",1.18771500432367,2.27791672132923
"SERPINB9",4.09631147733319,17.1045883351434
"WIPF2",1.01725821725894,2.02406864263292
"SPSB1",1.8358677064155,3.5698605185102
"DHRS3",-1.14920034785036,-2.21790926809551
"PPP1R13L",1.07426389824029,2.10564743989977
"PLK3",1.5397640841146,2.90746955346145
"CLDN7",1.21321190609411,2.31853242973898
"MPZL3",1.57313699859979,2.97551006646443
"TMEM52",1.91607179908055,3.77394081786692
"HIST1H3B",-1.23250702509891,-2.34974960042355
"TNFSF9",4.73173553554957,26.57016967257
"CHST12",1.54651789965661,2.92111245606955
"BCLAF1",-1.37046794027332,-2.58554415035972
"TMEM63C",3.06033282806622,8.34165027377265
"FOXA1",-2.72587677368516,-6.61562185686846
"INSIG1",1.08549498439029,2.12210344524748
"ALAS1",1.78688726556598,3.4506957249051
"RELL1",1.98493220147278,3.95844059691522
"LLGL2",1.52898105935733,2.88581948655171
"ITGB7",1.79660948809559,3.47402825562221
"LRP8",-1.4756375337628,-2.78106513401947
"ZNF775",1.74073787414594,3.34206055553318
"HMOX1",2.27989089679742,4.85641225956862
"EIF1AY",-2.50578925904364,-5.67959972888673
"ZC3H4",-1.77453803293175,-3.42128439382903
"DUSP14",1.07625542847229,2.10855613239799
"GOLGA6L10",1.67902105952432,3.20210598454555
"RHPN1",1.29113527925748,2.44720554214156
"FAM107B",1.74037083087785,3.34121039332709
"SIRT2",2.16621361873805,4.48843847253154
"FLJ35776",-1.7341345687948,-3.32679868943819
"KEAP1",-2.52447852917722,-5.75365425111241
"HIC2",2.1052756792914,4.30279968945207
"ARC",3.55373163872956,11.7430205205479
"ETS2",-1.79158538697592,-3.46195119639408
"EHD4",1.38466561531174,2.61111430569717
"PAAF1",-1.64203144185055,-3.12104993958561
"LAMA3",1.55144216144383,2.93109994375636
"EPPK1",1.97869538278225,3.94136506208024
"PC",1.25251728646814,2.38256782876724
"PUF60",-1.02103724881308,-2.02937748879962
"C20orf72",-1.41282275723465,-2.66257609473188
"OIP5",-1.19940947103785,-2.29645652399919
"PER1",2.85716893311297,7.24592027920627
"LIN37",1.51682030485873,2.86159659116749
"XLOC_l2_002076",-2.41815821043427,-5.3448824178858
"MOB2",1.14832874687482,2.2165697278629
"ADNP",-1.25524200100512,-2.38707186544155
"FAM136A",-1.17713361004536,-2.26127054404235
"XLOC_006336",1.575315595311,2.98000674334419
"GINS3",-2.94510648589476,-7.70132396162081
"ARL4C",3.3293875011659,10.0518385635962
"C7orf29",-2.11399010695907,-4.32886889350371
"SLC25A44",1.3135573474762,2.48553660013768
"C6orf130",-1.46056405576849,-2.75215944782644
"C12orf44",1.21400503350365,2.31980740270935
"FUT1",1.92353410351785,3.79351200556757
"TPRA1",1.1478857299586,2.21588917715596
"APOE",2.71346224666102,6.5589380408129
"C9orf140",1.04209495248467,2.05921569184492
"KCNQ1OT1",3.31012856233542,9.91854542770404
"STARD3",1.01875784037156,2.02617367393566
"SAT1",1.58409151018369,2.99818937270913
"HIST1H2AH",-1.15025559177036,-2.21953212764369
"ECE1",1.60355686591598,3.03891614463974
"TPPP",1.29125954301402,2.44741633655197
"PLD2",1.81559314091147,3.52004321550506
"SNAR-F",-1.79414715504327,-3.46810398298293
"FAM73B",1.99110009238638,3.97540017203903
"HIST1H3E",-1.4535153157177,-2.73874570307684
"LOC100509100",-1.79988235099064,-3.48191829785776
"TBC1D2B",1.20947591588632,2.31253614615441
"RHOV",3.80338158075631,13.9614955026697
"SUSD3",3.87893779131739,14.7121663394768
"BAHD1",1.1416019172375,2.20625862326749
"WFS1",1.42793904744214,2.69062073835476
"LOC100652953",-2.648248110665,-6.26905553756034
"CCDC84",1.4380053076119,2.70945992293685
"KRT17",4.2253511305116,18.7049879388288
"SCAP",1.11154167621837,2.16076425083073
"TSPAN4",1.5963503571568,3.02377408821673
"XLOC_009191",1.71539909394625,3.28387473064203
"GTPBP8",-1.43479839173807,-2.70344384906457
"SERPINH1",-1.49263018950808,-2.81401533291991
"HPS6",-1.14329331999176,-2.20884673797689
"PRKD2",1.10096209334408,2.14497687386046
"CYP1B1",1.83117502170067,3.55826762204554
"LRFN3",1.76839078935751,3.40673750448479
"S100A14",1.07905089380629,2.11264577697948
"ARHGAP26",2.1281185595118,4.37147018552781
"SLC4A11",2.57196909543441,5.94620456025904
"SPIRE1",2.05555496419787,4.15703520016697
"ZC3HAV1",-1.45611275703428,-2.74368100728265
"NXF1",1.33024693202353,2.51445708728243
"SESN2",3.01579842281259,8.08808647890723
"VPS37D",4.54615537596291,23.3630281959879
"GCNT3",-1.0854383310964,-2.12202011385295
"HAPLN3",3.40311927493203,10.5789114173651
"VASN",4.06216604686795,16.704513332709
"DGKQ",1.01743370994149,2.02431486988872
"MARVELD1",-1.32169851802898,-2.49960220527121
"C8orf60",2.50958193797733,5.69455038493614
"HSP90AB5P",-1.1399871477051,-2.20379059912676
"FANCE",1.08382585743956,2.11964969601565
"PBX4",3.38836184801752,10.4712505778491
"GRHL3",2.22634076524871,4.67945581535247
"LGALS7",1.8427480637551,3.58692620298333
"SNAPC2",1.24289973673981,2.36673755616541
"UBE2Q2",-1.59888056854479,-3.02908186314435
"XLOC_006390",-2.7236226855123,-6.60529358158602
"TTYH3",1.39436317817095,2.62872491551209
"CKB",1.15248362292633,2.22296251807033
"KIAA0247",1.37915313000379,2.60115636942305
"FAM83H",-1.2565081788733,-2.38916779299001
"EMG1",-1.28741218862124,-2.44089830359105
"SORT1",1.05602693597543,2.07919768984704
"HEBP1",1.5221023065517,2.87209268416398
"IER3",1.13260196758168,2.19253818329373
"CD55",1.39013569142722,2.62103331513271
"EVI5L",2.37300577148152,5.18019271866544
"JMJD7-PLA2G4B",1.3014155475873,2.46470596781696
