"","HT.29.cells.treatment.sample.3","HT.29.cells.treatment.sample.2","HT.29.cells.treatment.sample.1","HT.29.cells.control.sample.3","HT.29.cells.control.sample.2","HT.29.cells.control.sample.1"
"C5orf15",1955.03387799494,2021.00472335977,1866.93005055264,1872.70595651495,2043.5698328529,1955.91675326383
"VDAC1",6441.58598262435,6628.14889261964,6629.40450890984,5227.14446258711,5458.56880227452,6830.54649104927
"TCF7",375.968053460565,360.85666686978,381.598899817895,446.691839350262,461.511648005718,426.706091243604
"SKP1",7209.91044059376,7017.00305950518,7635.98428402003,6777.81676747745,6905.82439622349,7666.63050739461
"PPP2CA",3785.70909215292,3531.83277976572,3390.32093407762,4053.27986150386,4064.67256722277,3098.49270824353
"PPP2CA-DT",15.4243303983822,11.4063888953091,3.0047157465976,3.77752084017135,14.0419365518981,7.58107268706911
"CDKL3",38.5608259959554,31.1083333508431,39.0613047057688,54.7740521824846,43.9980678626141,33.5733218998775
"UBE2B",1789.22232621233,1889.31277884121,1771.78071857705,1778.26793551066,1952.7653098173,1733.89962457109
"CDKN2AIPNL",723.015487424163,878.291944938804,935.468169107386,711.118298162257,894.003293804179,1049.43706196714
"LINC01843",30.8486607967643,20.7388889005621,40.0628766213013,23.6095052510709,21.5309693795771,31.4073011321435
"LOC124901070",5.78412389939331,1.0369444450281,0,9.44380210042838,5.61677462075924,1.08301038386702
"JADE2",1143.32849078008,1127.15861174555,1169.835997342,1338.1867576307,1380.79042760331,1373.25716674338
"SAR1B",1085.48725178614,1104.34583395493,936.469741022918,1374.07320561233,1143.94976442797,1072.18028002835
"SEC24A",1370.83736415621,1233.96388958344,879.380141837564,1556.3385861506,1319.00590677496,768.937372545582
"CAMLG",871.474667508592,904.215556064506,959.505895080167,855.608470298811,993.232978770926,843.665089032406
"DDX46",1504.83623449216,1224.63138957819,1061.66623046448,2478.99805136245,1706.56335560735,966.045262409379
"C5orf24",2018.65924088826,1822.94833435941,1715.69269130723,2309.00961355474,2234.54016995872,1310.44256447909
"TXNDC15",967.87673249848,1068.05277837895,1024.60806958978,849.942189038554,1059.69814511658,1151.24003805064
