"","Caco-2 cells of no treatment group-1","Caco-2 cells of no treatment group-2","Caco-2 cells of no treatment group-3","Caco-2 cells of B. subtilis CW14 treatment group-1","Caco-2 cells of B. subtilis CW14 treatment group-2","Caco-2 cells of B. subtilis CW14 treatment group-3"
"26100",1168.65855094149,1224.3418788893,1406.72344771387,1074.30600280672,1400.82539235187,1174.99375126646
"222962",616.792012996899,681.104473802282,697.985710680957,684.67300807808,851.565588055847,707.687076144458
"84629",963.061213275859,1125.57144160075,1316.22722591826,1112.59363812688,980.364883249294,1453.04570767303
"100129484",53.1208432246133,64.8180994706099,44.8001097998047,45.0442768472421,62.8029621191187,75.3431107682312
"80028",456.445764004085,406.399195093507,577.921416417481,377.245818595653,580.129056863046,731.007562810815
"693174",0.98371931897432,7.20201105228999,6.27201537197266,3.37832076354316,6.38674191041885,4.48470897429948
"221946",22.6255443364094,6.17315233053428,14.3360351359375,2.25221384236211,10.6445698506981,18.8357776920578
"60",42393.3840511983,40242.780042753,43758.9552480573,40044.3621171982,42694.305214165,43739.3666263428
"6624",389.552850313831,632.748113879763,585.985436181446,538.279108324543,609.933852445001,630.550081786507
"107986762",55.0882818625619,93.6261436797699,101.248248147559,66.4403083496821,72.383074984747,78.9308779476708
"54476",628.59664482459,722.25882267251,730.241789736817,685.799114999261,632.287449131467,750.740282297733
"100874342",2.95115795692296,1.02885872175571,1.79200439199219,5.63053460590526,1.06445698506981,3.58776717943958
"401303",41.3162113969214,25.7214680438928,11.6480285479492,28.1526730295263,25.5469676416754,26.9082538457969
"51622",399.390043503574,371.417998553812,398.720977218262,412.155133152265,364.044288893875,360.570601533678
"107986694",94.4370546215347,84.3664151839684,98.5602415595704,93.4668744580274,85.1565588055847,80.7247615373906
"222967",0,4.11543488702285,6.27201537197266,2.25221384236211,8.51565588055847,1.79388358971979
"5395",310.855304795885,372.446857275568,323.45679275459,356.975894014394,428.976164983133,373.127786661717
"7965",474.152711745622,523.689089373658,600.321471317383,433.551164654705,415.138224177226,498.699637942102
"27102",3475.48035393627,3528.98541562209,3724.68112875576,3418.86061270568,3998.1004359222,3565.34363456809
"100310846",9.8371931897432,14.40402210458,31.3600768598633,11.2610692118105,22.353596686466,24.2174284612172
"84132",473.168992426648,518.544795764879,511.61725391377,384.002460122739,580.129056863046,445.780072045368
"9265",334.464568451269,493.852186442742,720.38576558086,355.849787093213,470.489987400856,479.863860250044
"84792",202.64617970871,155.357666985113,171.136419435254,249.995736502194,238.438364655637,213.472147176655
"5879",8358.6630533248,7856.36519932662,8451.09271263516,7173.30108792331,7952.55813545654,6821.24234990951
"221955",402.341201460497,435.207239302666,427.393047490137,334.453755590773,480.070100266484,417.974876404711
"11014",6249.56883344386,6357.31804172855,6384.01564647217,6198.09249418051,7528.90425539876,6135.97881863655
"392862",50.1696852676903,52.4717948095414,21.5040527039063,41.6659560836989,37.2559944774433,43.053206153275
"101927325",19.6743863794864,18.5194569916028,13.4400329399414,11.2610692118105,15.9668547760471,12.5571851280385
"55146",611.873416402027,539.121970199993,528.641295637696,505.622007610293,470.489987400856,451.161722814528
"79034",277.408847950758,278.820713595798,307.32875322666,247.743522659832,267.178703252522,273.567247432268
"54753",38.3650534399985,69.9623930793885,60.9281493277344,66.4403083496821,55.3517632236301,64.5798092299125
"100131017",476.120150383571,586.449471400756,608.385491081348,603.593309753044,615.25613737035,605.43571153043
"7559",628.59664482459,553.525992304573,621.825524021289,715.077894949968,1046.36121632362,758.812758451472
"441194",145.590459208199,180.05027630725,146.944360143359,141.889472068813,183.086601432007,153.377046921042
"728194",0.98371931897432,1.02885872175571,3.58400878398438,1.12610692118105,2.12891397013962,1.79388358971979
"221960",579.410678875875,546.323981252283,559.105370301563,499.991473004387,459.845417550158,478.069976660324
"107986696",109.19284440615,93.6261436797699,94.976232775586,88.9624467733032,85.1565588055847,79.8278197425307
"105375138",10.8209125087175,3.08657616526714,11.6480285479492,5.63053460590526,6.38674191041885,13.4541269228984
"100131257",11.8046318276918,12.3463046610686,5.37601317597657,14.6393899753537,11.7090268357679,8.07247615373906
"56913",1375.2396079261,1082.35937528701,1044.73856053145,1158.7640218953,1213.48096297958,1061.08214331926
"101927354",9.8371931897432,13.3751633828243,8.06401976396485,14.6393899753537,11.7090268357679,8.07247615373906
"340267",93.4533353025604,119.347611723663,95.8722349715821,115.989012881648,98.9944996114922,105.839131793468
"101927391",68.8603523282024,82.308697740457,115.584283283496,94.5929813792084,79.8342738802357,97.7666556397286
"54468",497.761975401006,483.563599225185,442.625084822071,505.622007610293,574.806771937697,555.206971018275
"6119",684.668646006127,562.785720800375,540.289324185645,638.502624309657,520.519465699137,560.588621787435
"729852",253.799584295375,263.387832769462,258.944634642871,251.121843423375,336.36840728206,287.021374355167
"105379719",16.7232284225634,16.4617395480914,30.4640746638672,5.63053460590526,25.5469676416754,13.4541269228984
"100505921",0.98371931897432,2.05771744351143,0.896002195996094,2.25221384236211,2.12891397013962,2.69082538457969
"113263",303.969269563065,349.811965396942,339.58483228252,302.922761797703,233.116079730288,403.623807686953
"3382",957.158897362013,935.232578075943,864.642119136231,837.823549358703,823.889706444032,804.556789989326
"100505938",28.5278602502553,18.5194569916028,29.5680724678711,21.39603150244,25.5469676416754,32.2899046149562
"30010",0.98371931897432,5.14429360877856,9.85602415595704,0,0,0
"105375144",0.98371931897432,1.02885872175571,4.48001097998047,3.37832076354316,4.25782794027924,4.48470897429948
"4697",3531.55235511781,2929.16078083851,2595.71836180069,2880.58150438113,2367.35233479526,2053.0997684343
"9678",1064.38430313021,1032.97415664274,1055.4905868834,1051.7838643831,896.272781428779,966.006313064108
"221981",0.98371931897432,4.11543488702285,5.37601317597657,6.75664152708632,9.58011286562828,0.896941794859896
"54664",1988.0967436471,1431.1424819622,1430.01950480977,1752.22236935772,1768.06305220095,1427.93133741695
"221806",0.98371931897432,4.11543488702285,4.48001097998047,1.12610692118105,5.32228492534905,5.38165076915937
"85477",32.4627375261526,42.1832075919842,33.1520812518555,48.4225976107853,30.8692525670245,35.8776717943958
"10124",841.080017723044,668.758169141213,683.64967554502,474.091013817223,502.42369695295,347.11647461078
"105375158",14.7557897846148,8.2308697740457,13.4400329399414,18.0177107388968,25.5469676416754,23.3204866663573
"107986770",52.137123905639,38.0677727049614,25.9840636838867,45.0442768472421,22.353596686466,44.8470897429948
"105375161",119.030037595893,93.6261436797699,87.8082152076172,104.727943669838,116.025811372609,132.747385639265
"2115",0.98371931897432,6.17315233053428,3.58400878398438,5.63053460590526,4.25782794027924,3.58776717943958
"1607",0.98371931897432,1.02885872175571,1.79200439199219,1.12610692118105,6.38674191041885,2.69082538457969
"392636",27.544140931281,20.5771744351143,14.3360351359375,22.5221384236211,26.6114246267452,14.3510687177583
"105375166",204.613618346659,147.126797211067,138.880340379395,194.816497364322,208.633569073683,110.323840767767
"105375167",0,3.08657616526714,7.16801756796875,0,1.06445698506981,0
"729920",36.3976148020498,44.2409250354956,58.2401427397461,28.1526730295263,12.7734838208377,43.9501479481349
"100506025",3.93487727589728,0,6.27201537197266,1.12610692118105,5.32228492534905,0
"25928",84.5998614317915,76.1355454099227,63.6161559157227,59.6836668225958,72.383074984747,57.4042748710333
"105375168",0.98371931897432,4.11543488702285,2.68800658798828,2.25221384236211,1.06445698506981,1.79388358971979
"57037",704.343032385613,640.978983653809,606.593486689356,727.46507108296,778.11805608603,685.26353127296
"105375169",78.6975455179456,70.9912518011442,60.0321471317383,48.4225976107853,73.4475319698168,79.8278197425307
"28969",2682.60258284297,2691.49441611294,2701.44662092822,2577.65874258343,2334.35416825809,2253.11778868806
"27075",2482.90756109118,2611.243435816,2902.15111283135,2558.51492492335,2899.58082733016,2519.50950176145
"10551",13834.0447827359,11430.620398706,12897.9516113638,10319.6438257032,9249.06674327157,7973.81255630447
"155465",377.748218486139,294.253594422134,328.832805930567,336.705969433135,354.464176028246,233.204866663573
"105375170",33.4464568451269,33.9523378179385,51.9681273677735,36.0354214777937,45.7716503580018,30.4960210252365
"107986772",9.8371931897432,3.08657616526714,0.896002195996094,2.25221384236211,1.06445698506981,4.48470897429948
"101927609",3.93487727589728,3.08657616526714,8.96002195996094,3.37832076354316,6.38674191041885,8.07247615373906
"196",2513.40285997939,1888.98461314349,2308.99765908193,1906.49901755952,1944.76291172254,1995.69549356327
"105375171",1.96743863794864,3.08657616526714,4.48001097998047,0,4.25782794027924,0
"102659288",6.88603523282024,4.11543488702285,1.79200439199219,5.63053460590526,1.06445698506981,0.896941794859896
"105375172",215.434530855376,155.357666985113,143.360351359375,186.933748916055,126.670381223307,105.839131793468
"101927630",12.7883511466662,4.11543488702285,14.3360351359375,13.5132830541726,10.6445698506981,8.96941794859896
