"","HCT116 cells transfected with siRNA control for 48 h","HCT116 cells transfected with siRNA control for 48 h","HCT116 cells transfected with siRNA targeting KIF26B for 48 h","HCT116 cells transfected with siRNA targeting KIF26B for 48 h"
"284656",365,478,526,609
"149175",298,417,389,209
"79693",725,895,1085,562
"127687",517,744,763,535
"4520",816,924,1044,973
"3633",652,810,475,643
"105378651",16,30,23,31
"10946",1856,2491,2562,1555
"2275",407,509,491,252
"51118",840,1082,1017,774
"5453",33,25,23,21
"107985103",21,28,24,24
"105378653",13,32,9,12
"64121",564,727,556,486
"100527950",418,478,396,308
"26292",418,472,389,307
"79647",1941,2416,2015,1596
"4725",2740,3513,3033,2350
"23499",7503,9332,6901,4170
"643314",1049,1203,1059,396
"105378950",13,18,14,11
"353500",445,555,430,417
"192217",74,75,56,79
"728448",212,238,226,364
"8761",4692,5748,6080,4023
"101929516",654,732,980,581
"677834",14,19,19,21
"26508",366,440,539,270
"51440",635,899,322,334
"10450",1201,1586,1101,1085
"656",647,844,643,480
"64064",84,122,103,109
"105378666",14,19,11,3
"101929536",16,32,15,29
"105378951",26,21,28,17
"54802",730,1017,609,695
"4610",196,285,322,188
"105378668",18,20,22,19
"84879",266,316,155,99
"10487",5585,7577,4954,3907
"5538",2310,2925,2571,1962
"6018",1728,2294,1099,1507
"10269",1329,1710,1602,621
"1298",70,115,100,121
"64744",1008,1150,891,1002
"65243",84,53,52,52
"64789",12,8,13,5
"127396",134,167,74,63
"9783",826,981,993,962
"105378675",11,12,19,11
"100130557",86,125,94,67
"4802",885,1201,924,580
"9132",184,191,289,194
"163732",141,156,112,128
"1503",1449,2023,1682,716
"100507178",170,155,216,198
"200172",113,129,177,159
"22955",516,650,688,526
"100132074",307,361,220,193
"59269",444,565,572,278
"22887",1753,2051,2153,1676
"284716",1183,1401,636,949
"84217",10,7,8,19
"728621",147,136,153,107
"79717",622,835,707,599
"10465",1145,1387,911,819
"4904",19665,25551,20353,17522
"64175",823,1044,1018,783
"79078",239,286,277,283
"105378683",24,20,13,32
"100129924",58,72,46,118
"107984946",16,18,12,38
"374969",112,180,110,107
"114625",125,168,261,134
"51058",128,180,252,107
"6513",13568,17427,11515,11426
"440584",68,79,77,82
"10969",1974,2688,2232,1225
"149465",42,56,72,65
"105378685",15,15,22,23
"128218",185,218,136,362
"149466",142,167,130,215
"7075",10,23,16,13
"4352",33,37,43,46
"105378687",37,45,51,70
"991",6106,7856,3117,3996
"64834",1818,2145,1888,2731
"112268225",31,30,41,52
"112950",494,728,494,628
"107984947",97,123,76,103
"23334",2058,2498,1620,1570
"100873952",93,112,67,67
"81888",268,333,225,173
"5792",11081,13764,11058,11190
"9682",1528,1822,1422,1217
"100132774",133,191,157,117
"6487",100,140,95,93
"9048",420,596,283,773
"105378688",30,29,29,14
"101929609",94,98,89,81
"9670",657,861,728,578
"1802",565,702,1226,528
"533",1944,2579,1632,1422
"8704",1318,1541,1176,1302
"149473",292,466,390,595
"6536",130,223,106,127
"107984948",11,7,17,24
"55929",462,581,401,237
"79033",996,1203,1133,1272
"100874278",42,71,48,59
"55182",1160,1488,1155,795
"107984950",390,478,368,259
"79639",148,192,154,114
"339541",111,139,102,100
"105378690",19,33,37,24
"11004",2790,3620,1494,2625
"109623476",12,12,3,7
"6202",22592,29492,24490,26037
"26811",100,62,116,88
"94161",16,20,17,25
"94162",20,26,24,47
"94163",34,38,43,53
"266675",36,46,37,65
"1263",2927,3616,2169,4621
"343521",558,752,595,620
"149478",706,871,666,588
"107984952",47,87,45,43
"8643",56,57,120,80
"8891",384,471,364,297
"79654",1370,1861,1219,748
"7389",1157,1419,1213,1053
"57643",108,122,111,40
"84842",10,31,31,16
"4595",475,537,494,445
"114034",215,298,245,103
"10420",309,377,227,217
"126661",81,103,56,70
"25974",2658,3521,3245,2875
"5052",11926,15278,13493,13807
"10327",1370,1850,2101,1386
"4678",3047,3708,3103,2233
"149483",57,81,111,86
"60313",1773,2301,2091,2006
"728963",18,24,21,9
"51249",506,678,707,518
"3652",463,533,604,375
"23139",2675,3366,2096,1737
"110117499",26,49,31,20
"8503",41,62,31,25
"10103",82,133,152,204
"55624",1514,1866,2147,2368
"541468",4,4,11,10
"8438",819,1114,515,716
"10489",844,1030,1245,811
"7388",4039,5375,4511,3979
"387338",527,707,759,616
"2166",489,660,453,371
"729041",52,81,50,49
"127343",373,463,151,186
"100507423",132,162,122,119
"8569",1291,1594,1049,886
"148932",137,217,292,177
"64756",757,937,561,292
"100130197",70,71,61,64
"9813",2103,2619,1406,1666
"105378698",21,27,14,18
"105378701",8,12,26,15
"100874253",10,15,7,13
"6491",1917,2423,1001,1028
"51727",2646,3488,2653,2657
"102724077",31,37,29,22
"2301",20,10,10,20
"84793",95,135,122,56
"2306",115,195,103,64
"388630",7,10,14,1
"200010",33,21,26,35
"54558",160,163,201,187
"11124",1065,1389,1112,1404
"105378715",26,58,30,49
"112268262",9,6,10,13
"1031",385,450,204,194
"26994",1859,2387,2403,1364
"22996",363,483,384,396
"2060",1607,2146,1504,1673
"114883",1789,2316,1727,1779
"4898",4425,5595,4853,4857
"105378721",248,315,333,318
"100313892",36,34,46,41
"5865",4634,5521,4413,3752
"51060",1232,1584,1601,1685
"112970",103,135,103,88
"91408",1129,1289,1127,1001
"9372",898,1156,1024,521
"200014",1277,1618,1182,1103
"4998",635,849,476,678
"84950",1169,1404,977,662
"23318",1752,2082,1475,1307
"105378723",7,11,3,15
"65260",810,1081,1221,529
"79699",1495,1726,971,1118
"55268",792,907,1137,806
"6342",1337,1611,1675,1192
"1376",491,666,683,474
"54987",427,515,512,346
"4116",971,1330,860,708
"100507564",27,45,62,35
"7804",2195,2697,3482,2521
"105378728",115,127,142,141
"105378726",121,144,245,140
"105378731",10,13,30,12
"105378730",7,21,23,16
"148979",51,90,37,27
"55706",2240,2624,1866,1243
"54432",444,664,387,324
"1733",25,15,16,15
"51668",663,879,494,464
"115353",1399,1675,1480,831
"388633",16,15,29,57
"9528",2054,2509,1883,2752
"127428",368,459,447,478
"606495",285,330,463,185
"51253",2418,3332,2412,1954
"23648",1589,2065,1459,870
"619518",28,42,32,31
"26027",663,834,705,465
"338094",127,167,154,99
"100527960",428,537,503,325
"374977",38,30,43,29
"7268",391,509,471,302
"25973",210,216,288,182
"55001",57,73,65,56
"163747",5,9,11,11
"1718",6906,8712,5078,3823
"107984958",22,64,57,23
"199964",89,98,109,133
"255738",2303,2835,1319,1937
"23358",2019,2450,2101,1525
"100507634",14,16,8,0
"8613",239,261,166,88
"5563",307,429,337,292
"115209",348,470,526,470
"4070",571,672,680,1043
"114803",2119,2840,1909,2003
"3725",1440,1843,1479,731
"101926907",7,16,32,18
"105378753",10,16,5,10
"105378756",30,26,12,10
"55277",141,130,186,171
"51361",1162,1422,797,758
"1573",70,64,55,28
"4774",560,678,586,506
"83941",389,437,426,414
"10207",1491,1940,1730,1931
"107984965",11,8,6,11
"7398",1370,1746,983,874
"85440",1675,2090,1440,978
"84938",374,498,336,271
"199899",3,11,9,11
"100996301",42,67,38,72
