"","HCT116 cells transfected with siRNA control for 48 h","HCT116 cells transfected with siRNA control for 48 h","HCT116 cells transfected with siRNA targeting KIF26B for 48 h","HCT116 cells transfected with siRNA targeting KIF26B for 48 h"
"51529",2534,3210,1912,2040
"5833",2130,2675,1716,1876
"256933",73,83,59,31
"51547",2008,2652,1790,2953
"4097",2761,3403,2910,3468
"92659",186,250,226,62
"5831",3317,4415,5836,5085
"255275",13,16,26,17
"147111",363,503,400,312
"79058",567,708,704,691
"201254",1721,2290,1967,1836
"201255",801,1147,903,859
"5881",1614,2040,1865,2150
"51181",2465,3133,2395,2437
"5986",888,1113,933,1294
"2873",4130,5337,3651,3003
"64118",2331,2857,2775,2885
"2194",44345,56480,36240,35161
"106633803",26,48,11,80
"284001",3723,4803,4438,3908
"9123",17689,23168,11908,15941
"102465472",40,71,30,60
"1453",6784,9004,6162,5815
"101929511",37,23,37,33
"924",26,22,16,6
"6398",189,244,327,125
"400629",20,42,52,106
"79701",1041,1269,1243,757
"284004",826,1035,752,755
"79415",1763,2039,1619,1688
"105371941",43,56,87,43
"26502",1902,2512,1906,2202
"3607",2752,3406,3550,2469
"105371942",332,379,356,381
"56270",6057,8218,4947,7604
"10966",517,733,622,668
"79672",1320,1679,1031,1174
"64122",127,166,171,156
"6904",4359,5539,3364,3450
"79755",55,53,23,46
"146712",400,523,458,523
"284207",1353,1846,1203,1308
"107987251",32,28,52,5
"403340",52,49,88,16
"105379280",131,148,78,134
"727758",56,54,17,37
"9097",1648,2074,1653,1249
"9984",413,588,373,509
"27098",44,46,28,35
"105371952",8,4,10,11
"494514",536,689,503,375
"7298",2067,2759,1788,1493
"55556",2614,3246,2718,2008
"7525",2721,3642,2919,2343
"105371953",12,10,21,4
"56651",33,49,47,28
"105371954",22,27,40,28
"64863",323,358,252,251
"10403",863,1223,508,561
"645158",14,8,15,22
"23347",2481,3256,2484,1711
"84034",277,325,375,159
"9663",729,899,611,866
"727896",25,22,21,19
"8736",35,45,41,105
"101927044",22,15,19,28
"10627",4664,6278,3365,3153
"104968399",2446,2902,2170,1835
"103910",7191,9152,6394,5326
"7050",2606,3155,3730,3621
"9229",10,7,23,8
"649446",66,83,220,170
"84777",117,82,280,108
"105371967",42,44,46,37
"7541",202,224,201,163
"5797",333,429,505,680
"201475",1229,1591,786,916
"23255",1454,1695,1223,1025
"4729",2011,2685,2085,1850
"101927275",40,43,33,31
"23253",1127,1437,763,868
"107985188",10,11,8,7
"57045",1959,2515,1451,1538
"10928",3249,4148,2807,3012
"9989",1776,2211,1739,1186
"101927323",13,17,1,7
"11031",2121,2611,1222,1490
"9218",3939,5154,4123,3883
"8774",871,1236,624,549
"105371990",21,22,20,11
"2774",409,564,442,441
"57132",1327,1605,1595,1624
"65258",478,576,350,444
"3613",396,552,409,434
"84617",3646,4518,3166,2203
"10939",1170,1356,1765,1509
"107985154",114,107,137,138
"10650",193,215,188,215
"105371998",79,92,64,83
"56907",1210,1499,1279,1075
"56984",918,1113,909,890
"79959",401,537,307,249
"5771",633,811,742,619
"81929",1136,1534,1157,1155
"55125",1498,1838,1112,909
"753",67,75,46,43
"125228",955,1072,778,929
"8731",3026,3755,2301,3527
"162655",273,299,165,148
"440482",34,69,125,43
"284233",7,12,38,26
"6093",2488,3174,1936,1966
"80000",1069,1492,1341,629
"101927521",37,46,44,26
"114799",900,1177,956,1061
"6632",2008,2508,1895,1273
"171586",1468,1887,1219,1231
"105376866",34,21,9,6
"57534",3773,4494,2597,3746
"102723167",17,25,20,18
"100128893",6,25,12,13
"2627",468,612,291,230
"5932",978,1316,1078,644
"100616139",25,39,28,12
"91768",186,210,321,90
"85019",617,757,595,528
"8780",2674,3274,1961,3538
"29919",891,1078,607,740
"4864",3357,4167,1713,3132
"147463",369,489,586,331
"3909",898,993,281,355
"125488",668,889,712,468
"102724246",12,14,4,10
"112268213",20,29,29,20
"26256",21,21,25,19
"114876",625,773,834,655
"55364",975,1125,1355,1036
"6760",2186,2760,1940,1157
"6875",691,909,788,878
"284252",400,579,461,233
"1825",514,706,676,341
"1824",1638,2141,2137,676
"1829",7438,9428,7580,6761
"100652770",350,471,393,318
"9331",416,569,408,392
"22878",1395,1741,1122,906
"54941",743,920,990,793
"51444",1122,1317,1234,893
"64762",465,576,560,413
"1837",203,249,191,145
"105372061",11,14,14,12
"10982",1202,1542,712,763
"84307",902,1018,1236,1029
"100101467",177,209,271,175
"10778",279,363,432,274
"107985139",247,261,185,201
"7572",1924,2311,1662,1826
"252884",34,34,53,21
"125476",437,661,395,398
"2589",1658,2254,1540,1098
"105372064",124,135,112,64
"83608",271,407,300,190
"55197",3231,4037,3134,2611
"25800",2828,3352,3088,2206
"55250",1995,2450,2526,2151
"101927809",15,18,28,33
"55034",313,455,409,302
"80206",329,433,234,256
"25941",1739,2184,1856,1282
"57536",336,482,362,295
"56853",26,26,19,21
"647946",41,85,26,75
"101927857",13,10,6,2
"5289",951,1225,1004,1066
"57724",1536,1886,1131,1044
"9050",894,1128,755,690
"498",10627,13332,10527,8485
"115106",564,696,429,299
"147339",1590,2016,1599,1987
"494470",349,444,427,188
"105372097",3,3,12,12
"9063",1191,1443,934,806
"83473",97,132,208,70
"105372098",57,56,104,37
"84064",395,551,508,204
"51124",833,1149,912,1009
"110175910",1,7,21,11
"4087",2344,2997,2650,2186
"201501",27,28,23,5
"9811",923,1140,1078,1710
"107987258",16,12,18,18
"105372107",23,20,20,17
"107985147",8,33,14,24
"105372105",33,71,23,57
"4092",366,488,60,82
"54808",731,844,780,964
"497661",457,509,338,511
"100526842",7107,9257,8048,8536
"6139",6903,9108,7950,8308
"100124516",35,37,52,41
"26791",26,40,21,36
"26790",349,421,329,491
"9388",445,589,212,475
"10449",359,537,347,393
"103091864",145,150,116,107
"677769",11,10,7,11
"4645",2063,2590,1519,1676
"220136",105,166,130,209
"4152",1879,2275,1354,1760
"30827",2129,2817,1272,2413
"220134",802,1064,446,426
"105372115",30,22,10,8
"5596",57,53,46,39
"83876",7,15,33,14
"4200",1524,1963,1544,1203
"55520",137,154,113,85
"107985152",17,38,32,17
"105372117",133,178,119,93
"4089",1867,2529,1610,1420
"51320",1188,1555,1141,969
"8932",1515,1886,1212,1186
"11201",548,780,506,620
"162681",558,748,353,358
"5874",247,306,161,89
"80323",461,558,347,228
"9352",1575,2078,1874,1823
"23335",597,738,455,300
"9480",776,898,690,571
"2235",862,1005,1284,599
"4677",3065,4050,4191,3571
"100505549",123,175,154,89
"5205",830,1071,665,554
"105372141",73,71,50,26
"23327",1934,2525,1439,1168
"105372143",12,8,15,13
"101927322",158,177,46,88
"10892",1879,2289,927,1382
"105372146",27,41,33,33
"55205",317,452,449,208
"90701",614,860,886,591
"3998",3353,4419,2949,4077
"147372",43,71,36,19
"5366",2372,2993,3148,2142
"220441",110,146,67,43
"23556",244,341,310,431
"57614",1132,1424,1162,1060
"8792",231,256,158,148
"54877",837,1136,961,685
"23239",719,1040,695,579
"596",69,100,66,24
"2531",1363,1845,1409,1215
"9525",1846,2206,1814,959
"5268",1054,1402,1452,1179
"8710",11,23,5,2
"284293",36,45,21,13
"105372165",21,56,24,21
"5271",180,216,183,53
"54495",933,993,1442,952
"79839",18,12,27,8
"10666",56,96,44,52
"25914",2094,2453,1279,1720
"9306",991,1253,1839,1098
"101927481",9,5,28,31
"102724895",22,14,33,63
"101060542",21,33,99,37
"201456",38,31,35,52
"29090",605,698,619,490
"1528",355,540,435,290
"55748",1410,1715,1602,1207
"84735",2,11,1,10
"55628",343,481,406,257
"400657",66,108,114,48
"284273",618,874,1007,563
"10194",201,221,404,250
"105372210",12,14,16,9
"9658",1247,1500,1352,1631
"101927989",19,37,33,28
"400658",15,29,10,14
"100131655",12,16,16,15
"7776",478,582,498,468
"4155",868,1258,1234,1514
"107987261",27,46,36,26
"374868",384,530,434,283
"105372226",15,4,11,21
"4772",736,891,705,578
"101927897",66,78,82,78
"107985162",4,14,11,8
"102723506",33,42,44,25
"9150",1301,1671,1487,1272
"26251",302,446,395,244
"80148",933,1375,1058,729
"440498",385,478,424,437
"10907",2296,2888,2563,1738
"79863",642,815,856,729
"100506070",13,12,10,7
"22850",2275,2690,1875,1907
"100130522",35,57,65,42
"84552",545,742,772,441
"375690",431,544,337,564
"399844",395,504,349,321
"101928344",252,318,227,335
"8612",1350,1713,1872,1507
"54531",912,1160,839,849
"126567",367,524,242,180
"25759",56,112,78,40
"284451",17,7,9,11
"91978",363,543,398,209
"997",2118,2779,1909,1996
"3004",19,25,12,13
"105372233",45,51,41,44
"682",12445,16214,12850,13610
"610",255,301,199,304
"107987266",61,74,52,80
"5442",3839,4799,4452,4976
"105372234",1,8,10,11
"27006",47,60,35,83
"55658",2358,2906,1959,1465
"10272",941,1289,1035,859
"5064",815,1077,1211,761
"126353",1237,1564,1020,1264
"5725",9295,12087,9394,6989
"79948",1919,2480,2138,1444
"5657",64,73,71,100
"1675",1105,1470,1281,1215
"10025",1659,2019,1408,1173
"91300",1887,2433,1697,2493
"84634",160,204,144,117
"1820",1369,1803,1146,1715
"57418",1557,2143,1444,1208
"116444",258,333,217,300
"105372235",32,30,14,26
"91304",5755,8024,4513,6567
"1265",4924,6032,4450,3907
"10347",4116,5237,2999,5521
"23526",1979,2514,1483,1591
"5434",3786,4856,3789,3069
"2879",5359,7639,4712,5283
"22904",2731,3271,1970,2816
"102723798",58,70,52,91
"102725180",61,77,51,65
"6794",2428,3111,2442,2445
"255057",764,987,696,705
"513",2911,3897,3412,2365
"102723811",10,21,31,12
"90007",3604,4273,3155,4827
"107985303",30,32,29,25
"105372236",14,11,28,22
"148046",111,98,95,90
"1153",3950,5190,5144,6878
"55009",463,678,586,473
"1943",339,331,320,221
"84939",1790,2241,2190,2099
"374291",1226,1486,902,884
"2593",1572,1882,1617,1397
"26528",4709,5780,4447,4772
"6209",15219,18797,13805,13183
"10297",360,495,423,218
"148223",734,830,773,619
"54760",193,221,185,748
"92840",1164,1607,1247,1232
"339366",609,714,608,416
"126520",6,11,17,6
"399664",1019,1433,1673,1509
"53615",1464,1935,1817,853
"10975",2482,3281,2653,1755
"6929",2911,3711,3831,3726
"390874",2060,2683,2336,1903
"101928543",1177,1451,1256,925
"148229",507,565,509,779
"57455",1796,2310,1751,1724
"100302210",69,68,61,61
"100288123",229,235,175,272
"83855",1343,1677,1912,2047
"81926",2812,3844,2287,2770
"113178",945,1231,1168,765
"113179",282,386,264,154
"1455",3875,4826,3547,2782
"255193",14,27,23,15
"55643",2154,2803,2365,2503
"107985278",45,54,54,40
"2872",2988,3903,3704,10880
"126308",1396,1647,1347,1038
"113177",113,105,57,189
"8943",4935,6477,5544,4590
"84444",3788,4662,3215,4214
"55111",949,1246,1166,1036
"102466736",152,138,175,152
"8175",2626,3752,2446,2711
"268",521,715,408,390
"100423031",65,88,49,57
"4946",9429,12079,9057,9983
"374872",13,22,15,16
"645191",12,16,3,6
"51690",913,1271,980,990
"56928",2602,3023,2117,3043
"360200",170,233,291,238
"26517",1107,1482,1128,846
"84823",9158,11519,9115,6092
"101928602",21,36,27,20
"4616",937,1227,367,729
"2788",581,769,594,572
"148252",1047,1254,949,813
"29985",604,796,634,503
"6449",2358,3044,2850,1871
"7064",2884,3767,3002,2776
"115196",125,177,185,138
"148254",143,147,123,202
"126295",153,187,194,167
"101928631",27,36,35,27
"58492",125,143,196,177
"79816",193,266,265,447
"7089",991,1414,995,1033
"166",2454,3212,4893,4525
"2767",2031,2679,2687,1854
"2769",11,22,8,8
"56926",3517,4519,3795,2723
"60680",145,201,180,148
"4782",2353,3104,3886,2801
"83475",494,642,534,415
"105372245",61,78,65,62
"51343",2199,2804,1529,1620
"126321",2794,3237,2485,2162
"100128569",446,606,542,453
"10362",3887,5115,4224,6432
"6915",176,230,146,123
"404665",265,367,315,278
"58509",810,1075,1048,790
"23396",1603,2061,1833,909
"27134",1240,1581,1489,1792
"9546",551,687,529,467
"116541",357,575,392,349
"1613",1927,2501,1294,1570
"693222",50,53,19,34
"1938",66663,85843,97267,87412
"26812",11,14,13,12
"51588",1173,1510,973,900
"51341",1820,2460,2927,2126
"5605",2790,3600,3153,2974
"84699",50,59,20,11
"51548",789,965,860,835
"170961",286,314,333,437
"10148",42,48,32,22
"55702",307,477,462,272
"56961",26,47,45,41
"79187",919,1148,519,931
"55620",36,48,47,35
"84954",314,415,408,241
"6455",3343,4203,3006,2802
"10036",1973,2632,1427,1266
"107985297",28,36,19,23
"80700",1810,2268,1933,1856
"84717",1809,2491,2424,2664
"729359",220,245,190,125
"440503",392,531,254,399
"116844",38,48,37,13
"10501",3454,4440,3442,2924
"105372249",98,136,93,100
"126282",1573,1888,1331,961
"56005",3040,3574,2427,2265
"91039",2447,3300,2121,2271
"100131094",238,294,233,289
"55527",1343,1614,1810,1007
"148022",1028,1251,969,647
"10226",7121,9127,6901,7417
"645432",309,396,319,325
"29128",5110,6483,2876,2525
"23030",3620,4514,2844,4488
"5802",3745,5096,3713,3149
"257000",279,418,328,180
"9667",2506,3366,2035,2833
"6294",4726,6207,4063,3734
"107985320",12,19,19,18
"125988",676,839,843,515
"374875",111,125,105,182
"25873",9878,13041,11509,11517
"9361",3392,4520,4253,5429
"257062",5,14,14,11
"163154",99,129,141,78
"56931",615,826,645,533
"4902",224,212,167,108
"2525",12,21,14,25
"2527",12,17,10,4
"126328",2204,3063,2028,1509
"400673",66,99,96,95
"828",44,69,66,59
"8498",1235,1617,1391,1037
"100128568",23,37,24,25
"5990",600,725,340,377
"81616",23,28,20,14
"4298",1920,2393,1956,1572
"8192",1329,1711,1207,893
"84266",514,626,662,543
"5623",17,23,23,17
"2962",2556,3426,2699,2156
"390877",22,11,17,24
"8570",9274,11950,8429,6647
"100500888",346,389,418,281
"284427",64,98,95,64
"79085",2361,3047,2880,2733
"92359",498,592,518,480
"79958",622,839,797,838
"10382",1045,1344,1156,1214
"8744",698,869,1047,1628
"970",15,19,22,22
"718",63,63,46,28
"56927",1125,1398,1335,1444
"102465474",10,10,11,35
"9322",3007,3830,2896,3742
"107985302",104,138,77,152
"10045",1857,2273,1620,2222
"7409",337,470,486,382
"79230",345,407,345,216
"3643",1654,2057,1418,1639
"23370",2069,2614,1651,1042
"107985284",10,3,7,11
"92960",70,70,89,127
"374877",24,34,35,45
"105372261",81,108,61,32
"140467",301,477,441,396
"57192",648,917,499,339
"10908",2910,3676,3198,2968
"57662",1061,1353,1040,800
"56949",2956,3878,2388,2477
"100131801",449,678,411,354
"126006",63,93,55,89
"6813",2135,2842,1765,2085
"126003",717,917,977,882
"115704",972,1235,959,1396
"80164",356,431,243,382
"80131",621,744,573,403
"5609",1570,2092,1854,2077
"100507588",176,216,218,291
"6618",604,860,833,851
"404217",1027,1308,1531,1615
"10469",1317,1615,1523,1403
"1994",3247,4223,2766,2312
"105372266",14,17,13,39
"84467",390,498,301,435
"79603",435,543,596,314
"51293",1131,1374,1222,1342
"4701",494,718,597,669
"6234",4315,6711,3106,3505
"256949",725,861,767,764
"51129",6308,8456,2658,8729
"100507567",247,342,247,209
"9230",1751,2110,1533,1513
"51257",471,596,609,544
"4670",7923,10410,9575,4242
"84106",32,59,31,36
"84330",278,403,271,330
"4542",58,77,113,80
"81794",234,326,224,152
"148156",583,794,900,1284
"94025",12,16,16,15
"57693",730,821,1164,724
"374879",309,399,329,327
"84527",221,244,295,140
"100529215",56,68,67,48
"7730",28,40,29,38
"10781",389,499,356,317
"79088",59,88,77,78
"7675",1641,2188,2260,2262
"93134",505,606,845,443
"284385",56,40,82,31
"54811",1044,1278,1383,1417
"162993",15,28,19,12
"54850",378,484,492,474
"59286",1752,2235,1826,1512
"5300",1299,1757,1196,1219
"93145",383,509,914,488
"50509",44,81,49,49
"55337",507,665,521,497
"83854",132,176,153,129
"56342",639,899,898,538
"692312",738,935,986,589
"5032",323,393,388,265
"8666",2230,2955,2463,1875
"1786",7359,8957,4902,3899
"9294",300,343,279,221
"51073",1779,2245,2100,1666
"3383",163,256,202,125
"3386",3,7,11,10
"7087",1492,1971,1491,2486
"100125288",38,59,57,43
"112812",296,355,344,161
"125950",2252,2811,2043,1508
"3385",253,334,313,199
"7297",3168,3956,2088,2295
"11140",6300,8156,7684,6761
"100302213",574,764,687,597
"5141",1721,2269,1662,1481
"9817",1357,1786,1773,1258
"53637",145,204,133,100
"84971",864,1059,600,585
"65095",1587,2103,1685,1170
"1032",543,693,285,537
"10053",1320,1763,1894,1825
"57153",2194,2769,1686,1360
"147727",219,246,286,272
"3609",10414,12986,10364,8772
"81890",700,1003,1131,1135
"1785",4950,6870,4438,4523
"11018",638,880,670,644
"10498",2375,3030,3090,2142
"78992",929,1117,1319,1196
"90580",339,488,305,274
"6597",3341,4183,4062,2896
"115271120",191,222,173,242
"3949",5626,6946,4894,6481
"147841",781,1045,538,775
"25959",1915,2296,1588,935
"57572",1902,2414,2370,2620
"105372273",41,70,63,102
"55908",11,20,8,18
"9545",1112,1406,1102,655
"374882",793,986,832,1225
"126075",76,115,91,88
"64748",1102,1521,868,848
"126074",63,72,74,72
"2057",800,1002,611,673
"57139",1654,1992,1626,2368
"115948",252,306,424,454
"5589",3986,4700,6154,6313
"115950",208,204,155,111
"51295",537,589,444,502
"84337",995,1225,956,758
"54",4,20,11,21
"199692",248,289,362,242
"664709",327,494,303,353
"401898",36,58,37,26
"55552",128,151,177,168
"126068",51,72,41,61
"126070",223,232,286,263
"90592",305,483,284,321
"101928464",17,27,20,16
"7695",91,121,91,70
"51710",210,297,180,170
"90576",121,168,118,146
"10224",73,109,74,73
"163051",8,14,13,5
"163050",86,130,128,75
"57474",149,206,231,129
"163049",559,712,890,639
"105372279",24,44,50,46
"4125",1485,1926,2221,2198
"84292",717,905,760,586
"51398",664,890,724,521
"1725",1823,2321,1316,1845
"84261",254,267,380,233
"30000",2268,2757,2956,2215
"79002",2631,3401,2902,2109
"439",2140,2801,1795,1138
"29911",1826,2370,1972,2465
"3726",5515,7238,4080,4243
"7001",4745,5949,4227,3667
"10535",1083,1515,782,707
"83546",348,424,303,325
"105372281",71,107,55,47
"22983",961,1271,792,1256
"1777",684,870,621,601
"2639",368,447,436,399
"256126",51,53,33,54
"2193",2869,3867,2862,1601
"106144598",359,445,428,235
"811",15636,20028,18374,15603
"102466659",21,34,23,26
"5886",1298,1721,2034,1766
"90480",1430,1940,1698,1619
"4784",960,1200,1168,734
"4066",199,275,230,157
"105372282",154,196,187,174
"55621",1186,1541,1630,1432
"112939",3971,5045,7053,4554
"8677",1666,2232,1822,2096
"9592",5924,7318,5465,4502
"773",165,234,255,161
"81576",661,822,685,640
"84245",531,645,563,533
"28974",1753,2217,1748,1360
"65249",440,684,580,500
"107985334",23,36,34,26
"284454",639,770,573,1001
"79173",15,21,17,17
"54862",1530,2104,1316,1827
"79883",28,30,26,20
"90379",1439,1791,867,883
"5989",669,802,484,844
"9466",751,896,639,265
"342979",176,217,190,567
"113230",208,240,132,241
"102466515",10,10,9,20
"90378",1115,1496,945,1000
"5566",2528,3159,2861,2015
"55723",2223,2694,1117,1163
"100507373",288,330,336,246
"22859",3419,4339,4015,3053
"101928845",15,18,16,16
"976",2939,3680,3295,2470
"10212",2376,3213,1781,1461
"5585",4119,5309,5241,5864
"5731",15,22,8,20
"10755",3333,4407,2992,2851
"3337",5081,6636,4914,4856
"9524",2534,3154,2040,1805
"693224",99,127,83,80
"112268253",27,41,24,25
"4713",1152,1405,1253,843
"106635534",401,489,387,370
"84449",350,467,349,439
"30817",569,777,733,219
"85360",311,352,191,187
"10994",1127,1522,1058,1151
"4854",2395,3183,3304,3065
"23476",1355,1855,1364,1180
"10270",1003,1279,1029,744
"26993",1940,2515,1599,2554
"58525",1025,1340,1260,878
"126410",218,272,224,148
"4051",243,320,270,618
"66002",405,522,151,252
"26539",14,6,21,17
"105372290",88,126,242,85
"652995",2480,3214,4988,2290
"102724279",134,153,160,177
"105369202",138,152,133,213
"8529",103,150,35,46
"57834",1090,1406,766,1882
"7171",3764,4696,8870,11586
"4218",2222,3016,1470,1655
"84941",901,1226,953,1138
"26017",693,927,1352,1192
"8907",1202,1513,711,1168
"10365",681,916,415,741
"58513",1055,1496,1006,933
"84167",548,658,707,495
"10523",1846,2332,2178,1471
"79939",2306,2972,2257,2276
"105372295",32,53,33,37
"9441",441,528,374,255
"79086",740,939,1007,739
"79041",298,433,410,252
"284434",40,28,21,19
"23309",2299,2992,2321,2327
"93323",415,481,313,343
"4650",3124,4097,2995,3207
"55850",182,213,266,211
"79629",320,318,382,408
"2063",1956,2481,1613,1584
"83878",8,15,12,4
"29086",1389,1691,1614,2102
"126549",346,461,284,289
"79575",302,430,255,181
"64981",852,1042,733,687
"79016",1855,2468,1868,2006
"57719",1581,2066,1297,2087
"84705",1251,1712,1391,1923
"684",19,33,54,17
"105221694",18,11,11,10
"93343",1003,1227,1229,1359
"100130519",138,165,201,156
"376497",965,1172,1631,1427
"100507551",142,194,267,187
"25796",354,394,509,309
"199786",238,258,242,233
"79709",3274,4060,3784,3791
"23025",4035,5463,3575,4361
"55201",1250,1658,1344,1298
"23149",680,901,735,801
"10331",537,582,579,423
"3640",19,42,25,10
"3718",336,486,387,665
"6142",21591,28312,23943,22587
"26780",28,17,22,22
"6528",26,62,43,88
"115098",2710,3779,2704,2454
"3780",25,37,24,23
"27106",814,1055,863,978
"23031",1089,1407,1000,877
"5296",2478,3114,3072,2357
"10437",1601,2056,1563,965
"84769",572,698,489,420
"5864",336,428,310,390
"5143",78,102,61,102
"80726",162,171,153,180
"3727",3729,4772,4835,5312
"25804",4011,5130,3724,4007
"105372300",8,20,17,19
"54858",1586,2054,1991,2879
"9518",10031,13330,12154,8321
"100422943",26,33,103,20
"170463",2182,2696,2811,2316
"51477",4371,5757,5411,5811
"8178",1050,1528,1206,1182
"23770",4552,6135,2972,5851
"79036",2338,2994,2723,2684
"7311",9987,13228,11599,10855
"55049",940,1222,1125,1184
"9244",813,1018,774,645
"25789",566,655,403,481
"55295",604,740,476,428
"23373",662,781,876,418
"5976",3867,5056,3678,2778
"10715",13,29,19,14
"2657",8,28,13,10
"11316",2391,3118,2574,2252
"54555",712,990,1057,790
"9454",951,1163,880,585
"102724360",20,28,32,24
"10147",3534,4614,2816,4472
"93436",477,648,692,407
"284439",374,465,408,442
"54929",1168,1445,1498,1551
"4207",161,220,193,127
"100271849",118,141,124,87
"729991",139,178,183,96
"8625",588,848,706,464
"126382",452,576,499,478
"57794",720,815,902,599
"23383",1015,1372,1139,941
"54815",2901,3498,3780,2666
"83983",34,56,44,43
"51079",2286,3103,2252,1905
"374887",591,805,560,612
"148113",560,652,824,716
"80714",295,366,171,400
"9170",400,452,410,324
"51291",614,723,713,372
"57130",2104,2929,2252,1926
"94039",358,447,361,268
"7561",137,201,168,132
"284440",51,43,77,90
"112267872",41,41,60,46
"7608",10,4,21,3
"440515",9,9,39,28
"7639",45,46,29,38
"80264",170,262,202,201
"148206",414,519,478,637
"170959",730,803,583,596
"7562",69,155,134,92
"148203",206,257,187,138
"284443",34,44,60,21
"163227",213,281,212,186
"641367",31,18,19,20
"440519",89,96,71,91
"100132815",60,74,94,16
"7644",215,305,330,305
"171392",75,94,76,86
"388524",452,583,710,566
"9534",69,88,54,90
"148189",94,132,163,146
"101927151",126,143,198,132
"7386",1856,2410,1842,1314
"10775",639,817,667,473
"79156",127,178,203,148
"83636",374,471,511,399
"898",709,957,692,614
"8725",1196,1557,1859,1392
"22847",1089,1378,1019,758
"400684",23,29,40,14
"147991",487,565,495,440
"9141",1503,2027,1279,1369
"84079",1369,1702,1845,1666
"109616972",15,9,8,17
"388531",35,28,33,9
"390916",551,764,720,396
"84902",489,571,546,533
"91442",68,134,47,46
"85415",2554,3346,1916,1976
"55094",394,457,267,325
"126248",67,70,116,27
"4037",940,1253,1205,791
"1050",309,298,226,191
"80054",36,67,109,36
"1054",1083,1417,1002,1395
"5184",1143,1429,1073,967
"79047",549,612,622,455
"26065",3351,4036,2988,2510
"9710",1146,1396,815,852
"2821",25941,32311,25269,48944
"84306",318,436,416,381
"10054",2517,3160,2121,2210
"126374",424,532,325,311
"643719",30,31,20,32
"284402",13,10,13,17
"55900",204,260,267,122
"339318",100,144,126,115
"148103",14,35,30,26
"400685",20,20,17,2
"90075",49,58,53,31
"126375",131,134,98,63
"57655",1690,1926,1808,1561
"6324",322,476,264,378
"5349",112,139,113,78
"163175",24,31,18,56
"5348",124,223,93,183
"53822",16,42,13,16
"53827",1291,1661,1292,1420
"51599",5559,7572,5687,5249
"105372380",55,57,67,41
"7392",1642,2096,1754,1478
"933",84,121,210,171
"93099",2419,3153,2848,3214
"374897",29,30,35,4
"26330",177,235,332,362
"100506469",434,613,636,512
"10430",1147,1553,1257,944
"495",17,23,24,6
"23354",1158,1588,780,879
"79171",2020,2514,1574,1423
"2116",13,23,41,17
"1340",2073,2770,2215,1791
"11045",96,120,71,156
"100862728",106,120,43,97
"9757",1850,2580,1829,1891
"79713",81,127,71,86
"199746",136,160,115,214
"55851",546,697,731,617
"55957",219,315,207,262
"126393",11,16,12,12
"148137",550,855,676,494
"115703",976,1202,338,919
"4868",74,95,36,110
"84063",33,70,36,44
"107985317",6,17,10,10
"333",1042,1230,968,1299
"84807",154,207,150,155
"10870",8,13,20,15
"79414",551,603,582,299
"644096",240,298,316,243
"163183",247,281,377,492
"84964",410,503,584,1101
"101927572",17,23,24,54
"25999",84,110,84,96
"199745",75,142,90,69
"284403",1010,1280,561,822
"728361",11,11,12,9
"5438",548,696,474,389
"1155",1693,2435,1517,1391
"826",4872,6890,5550,5917
"1346",32,26,31,33
"147929",49,92,87,85
"7705",1401,1721,2013,1519
"107985304",439,507,645,467
"57677",145,194,177,109
"84924",111,170,171,103
"728752",20,18,24,10
"92283",16,30,17,35
"163081",167,232,180,131
"101927621",10,19,13,9
"342892",107,98,77,65
"199704",93,113,116,151
"92285",139,197,259,188
"163087",172,220,248,180
"284459",438,501,557,559
"84503",63,51,41,28
"22835",84,104,132,87
"84775",202,273,208,160
"126231",35,47,74,21
"23094",1837,2418,1728,1867
"8193",405,528,248,335
"10653",8491,11307,8215,9791
"90522",2150,2823,2114,2181
"64073",548,782,1005,1013
"9424",891,1130,1023,1018
"57828",69,106,131,74
"5714",2783,3926,3126,3054
"199720",62,76,56,42
"399473",184,198,190,84
"147965",684,823,744,795
"115727",54,41,55,39
"6261",257,308,292,266
"107985290",14,10,13,18
"11184",49,65,30,66
"27335",2318,2906,2665,1817
"81",28322,36979,18691,20212
"107985291",11,30,17,44
"147968",1521,2154,1169,1385
"1891",1376,1779,1524,1148
"3191",9701,12430,9063,8114
"126432",508,656,910,789
"22933",389,560,299,480
"4793",616,728,867,658
"643669",89,102,157,126
"54938",664,878,880,707
"6183",1005,1211,1344,988
"115290",275,378,310,271
"126433",309,349,230,368
"390928",202,228,125,152
"10298",2517,3175,1997,833
"57622",473,788,823,262
"9535",10,8,11,3
"55095",3150,4024,4453,4068
"54623",1310,1659,1063,977
"55588",743,953,934,455
"7538",2706,3382,2446,2417
"64857",1373,1628,743,642
"6217",22826,29780,23140,21359
"6829",4847,6130,4623,3447
"109623469",37,55,24,48
"92609",1864,2330,1743,1487
"126272",43,52,35,28
"163126",456,550,239,276
"9149",132,189,197,118
"2091",5395,7025,5723,4953
"8857",149,269,581,160
"107987267",10,18,55,18
"5704",2721,3556,2650,3962
"339327",46,62,52,32
"163131",333,427,354,151
"284323",437,586,431,180
"4294",488,704,609,792
"148014",32,68,27,36
"79935",78,70,112,146
"208",3167,4012,3501,3134
"107985289",20,25,39,21
"693226",11,17,12,11
"126526",812,1037,669,504
"23646",2261,2943,2648,2902
"147746",11,23,21,11
"57716",151,238,282,262
"29950",723,1042,1007,511
"29946",388,615,580,446
"105372489",60,92,78,73
