"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"90317",150.846175015499,1.4380062753479,0.327559982363383,4.39005480758828,1.13322095117171e-05,0.00152455485911254
"23386",1327.72758581828,0.939809808740314,0.215127371323783,4.36862033388502,1.25033917019706e-05,0.00166337856274507
"8751",2963.17159877751,1.06799395056412,0.24488787883191,4.36115480953298,1.29377783535783e-05,0.00169318028690938
"3572",1663.89951081103,-0.962776624417829,0.220768008767553,-4.3610332393383,1.29449697489378e-05,0.00169318028690938
"81610",1632.59227243931,-0.905965883313725,0.20815727028795,-4.35231439219238,1.34707902014331e-05,0.00174727374571089
"8506",693.553916393876,-1.00333549209286,0.230754062875625,-4.34807292053466,1.37338944971361e-05,0.00176667824667705
"6674",381.207400288755,-1.37210601800343,0.316002865477578,-4.34206827817764,1.41147651050353e-05,0.00177341506053388
"11098",272.93974587088,-1.19546340172509,0.275175366583462,-4.34436925284337,1.39676402876415e-05,0.00177341506053388
"770",578.080647090682,1.17465879201142,0.270542682045195,4.34186126614651,1.41280737234951e-05,0.00177341506053388
"283554",74.6497926687684,-1.91492554833716,0.442044617611519,-4.33197345255326,1.4777876378868e-05,0.00182875817563213
"7023",483.060674673595,1.05826463421574,0.2443134662001,4.33158536316207,1.48039531082331e-05,0.00182875817563213
"55388",1071.20099069796,-0.931068786969582,0.215856101829035,-4.31337719471566,1.60779464127312e-05,0.00196434336030137
"84515",1078.5541345051,-0.954007616705523,0.221227614257348,-4.31233514815991,1.61539319061083e-05,0.00196434336030137
"100128338",702.785961529693,1.26108778056995,0.292556302538042,4.31058148339144,1.6282581554601e-05,0.00196463861935942
"3838",11223.9055284772,-0.842705406511034,0.195984950830941,-4.29984752879298,1.70915658108373e-05,0.00204638632188986
"27347",4190.85522540057,0.849105477051507,0.198505887914935,4.27748257731968,1.89018746760688e-05,0.00223793441070589
"135398",494.742217068586,1.12543220567832,0.263161958353796,4.27657634377869,1.8978949066057e-05,0.00223793441070589
"2272",146.554882993295,1.49180936543249,0.349685527849595,4.26614556972498,1.98879041211186e-05,0.00231011363914337
