"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","sig","gene_name"
"GGTLC2",22.0203385542384,1.37175961479754,0.321554979481644,4.26601888426314,1.98991944046364e-05,0.00010185715075643,"yes","GGTLC2"
"PTGS1",7.72616095502776,2.81555818771776,0.66307993981483,4.24618212474355,2.17443904198108e-05,0.000110921194628206,"yes","PTGS1"
"AP2A1",33.8321371570594,1.06661424907454,0.251249873778062,4.24523297479033,2.18366415989016e-05,0.000111349442679918,"yes","AP2A1"
"LOC643733",23.9037838944918,-1.30421647736696,0.30731427246727,-4.24391769017452,2.19650946704189e-05,0.000111919373375746,"yes","LOC643733"
"SOX4",20.8209896196647,-1.54369559808687,0.363813691909877,-4.2430937383997,2.20459293467789e-05,0.000112203409755837,"yes","SOX4"
"WARS2",15.2290614127127,-1.74058338448938,0.410207273862555,-4.24318020521641,2.2037433147079e-05,0.000112203409755837,"yes","WARS2"
"SPAG7",24.3300347794896,-1.2995940272398,0.306953539928542,-4.2338460326678,2.29728256174901e-05,0.000116699518547614,"yes","SPAG7"
"XLOC_l2_011291",12.3821604694755,1.88393214023487,0.445015265872292,4.23341014277813,2.30174174329605e-05,0.000116881783603557,"yes","XLOC_l2_011291"
"ADRBK2",30.8087098056191,1.11511479668112,0.263593925362155,4.23042676400472,2.33248374827954e-05,0.00011835326008668,"yes","ADRBK2"
"SNRNP48",20.8461224561823,1.38987308443114,0.328610152261646,4.22955004544258,2.34159185124807e-05,0.000118770496318881,"yes","SNRNP48"
"CXorf26",10.2093938135185,-2.20515813615192,0.521415670530292,-4.22917503401696,2.34549811626913e-05,0.000118878740943962,"yes","CXorf26"
"TMPO",16.4182336190726,-1.62045840155084,0.383558712459557,-4.22479883499374,2.39154310085114e-05,0.000121166700305962,"yes","TMPO"
"ZNF584",24.1220770895979,1.26511563245152,0.299496862766215,4.22413650936657,2.39858637333457e-05,0.000121477670006253,"yes","ZNF584"
"HIST1H3I",25.1722861363172,-1.26224918467215,0.298826254483184,-4.22402371188967,2.39978784407413e-05,0.000121492655532447,"yes","HIST1H3I"
"XLOC_002133",17.9634238818516,1.50431015244331,0.356182606238416,4.22342395753144,2.40618579478858e-05,0.00012177060966761,"yes","XLOC_002133"
"CTU2",34.5560460811253,1.04301158821728,0.247022316207931,4.22233749658198,2.41781709433563e-05,0.000122266996372434,"yes","CTU2"
"FBXL3",22.5359262818488,-1.34505102058434,0.318839733208886,-4.21858031007426,2.4584540435446e-05,0.000124275129797266,"yes","FBXL3"
"MARCH3",24.222290961548,1.31562964858109,0.312021313000273,4.21647366306655,2.48152253921845e-05,0.000125393997687965,"yes","MARCH3"
"ZMYND8",17.7682146873313,-1.53468350153297,0.363990674057496,-4.21627148966611,2.48374720291758e-05,0.000125411940061506,"yes","ZMYND8"
"PBRM1",36.8466420979083,-1.03714750600085,0.246030437570998,-4.21552518558422,2.49197577879781e-05,0.000125780086713135,"yes","PBRM1"
"LUZP1",25.8636129227661,1.21174562575484,0.287626093463156,4.21291966651857,2.52090740814423e-05,0.000127049187782355,"yes","LUZP1"
"KBTBD4",12.0544055409176,-1.95499076580124,0.464092436716869,-4.21250296520977,2.52556398369857e-05,0.000127236073621104,"yes","KBTBD4"
"SLC30A1",38.0753349851294,1.05558720813357,0.25064241831828,4.21152658522917,2.53650695215631e-05,0.000127691471932942,"yes","SLC30A1"
"SYNGR3",6.32955619006628,3.60632984361094,0.857402761433962,4.20610943400688,2.59804465876948e-05,0.000130544446224912,"yes","SYNGR3"
"ARID2",15.8865525927923,-1.6209671672074,0.385408510663796,-4.20584165205792,2.60112314125167e-05,0.000130650198663543,"yes","ARID2"
"RASIP1",8.23202968193753,2.54646065897004,0.605524307646969,4.20538139726452,2.6064224430053e-05,0.000130867378350895,"yes","RASIP1"
"LOC100129250",16.2535467495479,-1.60134011492193,0.380887425847579,-4.20423465373925,2.61967056715685e-05,0.000131483353269646,"yes","LOC100129250"
"LEPREL2",26.8352366861967,1.27951911613569,0.304354630486643,4.2040402476868,2.62192284489653e-05,0.000131547183571922,"yes","LEPREL2"
"CLDN23",16.9280566268409,1.5438722434123,0.367502227573334,4.2009874432781,2.6575333228042e-05,0.000133234181833861,"yes","CLDN23"
"RBM45",20.0571261123381,-1.42229738149739,0.338891299192445,-4.19691324293846,2.7057752313277e-05,0.000135399778080911,"yes","RBM45"
"EAPP",28.867613706628,-1.15008959889566,0.274164388462699,-4.19489053755108,2.73003396060649e-05,0.000136461011980241,"yes","EAPP"
"STXBP1",25.5909595488886,1.22487583305224,0.292128445524395,4.19293585345135,2.75367328001126e-05,0.000137523433152624,"yes","STXBP1"
"LDOC1L",13.7783836338554,-1.77507194012309,0.423353964269578,-4.19287898528519,2.75436393024075e-05,0.000137523433152624,"yes","LDOC1L"
"TMCC3",11.6198759207028,1.94414590831938,0.463731932010835,4.19239171192972,2.76028850364197e-05,0.000137767970851416,"yes","TMCC3"
