"","HT-29 cells control sample-1","HT-29 cells control sample-2","HT-29 cells control sample-3","HT-29 cells control sample-4","HT-29 cells treatment sample-1","HT-29 cells treatment sample-2","HT-29 cells treatment sample-3","HT-29 cells treatment sample-4"
"GCNT1",1.00298673180976,0.96467862996031,0.900353193308403,0.97987284287531,3.21276429232902,4.05932717962681,3.94874507282423,3.28599771416865
"ZNF808",18.0537611725757,21.2229298591268,19.8077702527849,19.5974568575062,19.2765857539741,17.2521405134139,19.7437253641211,21.906651427791
"HIST3H3",1458.34270805139,1382.38447673312,1507.19124559827,1479.60799274172,1330.08441702422,1302.0291928653,1218.18785496627,1155.57586281597
"CCL27",2.00597346361952,1.92935725992062,0.900353193308403,0.97987284287531,5.35460715388171,5.07415897453351,3.94874507282423,4.3813302855582
"WNT6",1.00298673180976,0.96467862996031,0.900353193308403,0.97987284287531,2.14184286155268,2.0296635898134,2.96155880461817,2.1906651427791
"SNORD51",2.00597346361952,1.92935725992062,1.80070638661681,1.95974568575062,1.07092143077634,1.0148317949067,1.97437253641211,2.1906651427791
"SPINT1",282.842258370352,285.544874468252,272.807017572446,303.760581291346,409.091986556563,435.362840014975,398.823252355247,372.413074272447
"XLOC_l2_013481",10.0298673180976,8.68210766964279,9.00353193308403,8.81885558587779,5.35460715388171,6.08899076944021,5.92311760923634,5.47666285694775
"MTA3",13.0388275135269,12.540822189484,13.505297899626,12.738346957379,4.28368572310537,5.07415897453351,5.92311760923634,4.3813302855582
"MARCH9",45.1344029314391,48.2339314980155,45.0176596654201,49.9735149866408,104.950300216081,101.48317949067,98.7186268206057,89.817270853943
"RPL21P44",2015.00034420581,1848.32425500395,2168.05048948663,2028.33678475189,1575.325424672,1439.0314851777,1686.11414609595,1527.98893708842
"CENPB",66.1971242994441,62.7041109474201,57.6226043717378,66.6313533155211,69.6098930004622,67.9937302587491,67.1286662380119,60.2432914264252
"FIGNL2",17.0507744407659,14.4701794494046,15.3060042862429,17.6377111717556,13.9219786000924,13.1928133337871,11.8462352184727,14.2393234280641
"LOC100506802",6.01792039085855,5.78807177976186,7.20282554646722,5.87923705725186,19.2765857539741,18.2669723083206,17.769352827709,19.7159862850119
"NAAA",17.0507744407659,17.3642153392856,16.2063574795513,16.6578383288803,17.1347428924215,19.2818041032273,18.7565390959151,18.6206537136223
"SLC30A2",1.00298673180976,0.96467862996031,0.900353193308403,0.97987284287531,7.49645001543439,8.11865435925362,5.92311760923634,5.47666285694775
"TMEM105",5.01493365904879,5.78807177976186,4.50176596654202,4.89936421437655,6.42552858465805,6.08899076944021,5.92311760923634,5.47666285694775
"ZFP64",21.0627213680049,19.2935725992062,20.7081234460933,18.6175840146309,4.28368572310537,5.07415897453351,5.92311760923634,5.47666285694775
"LOC648987",39.1164825405806,42.4458597182536,43.2169532788033,40.1747865578877,14.9929000308688,15.2224769236005,12.8334214866787,14.2393234280641
"FAM110C",9.02688058628783,8.68210766964279,9.00353193308403,9.7987284287531,10.7092143077634,11.1631497439737,15.7949802912969,14.2393234280641
