"","rownames(res)","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"CNOT8","CNOT8",26.3298849796186,0.131431542708496,0.276255696980515,0.475760478951376,0.634245028631339,0.764925503786232
"ND1","ND1",499.257302099643,0.131485931132242,0.102222051197038,1.28627756528575,0.198346209263151,0.328438995738637
"PTGR1","PTGR1",111.037757565937,0.131855777847887,0.139215708572975,0.947132900442549,0.343571061646142,0.496783971492297
"APEH","APEH",191.765820002361,0.132230894350996,0.115044624682499,1.14938785463404,0.2503960858887,0.392951902983332
"WDFY1","WDFY1",24.8922276021471,0.132352002235198,0.281430796389935,0.470282584326052,0.638153138418792,0.76798192545986
"FAU","FAU",3899.24539929278,0.13290537495188,0.0552075719451556,2.40737584119641,0.0160676246223064,0.0417111555597644
"PDE12","PDE12",23.0909712586076,0.132990586371406,0.29222108493004,0.455102637112051,0.649035400918976,0.776273418804403
"RPS25","RPS25",5305.55418315073,0.133491108512377,0.0465786206476249,2.86593090684801,0.00415784981818634,0.0128381388172124
"ANAPC11","ANAPC11",2258.43779719248,0.133523835722628,0.0611806989649387,2.182450314913,0.0290763143765341,0.069201318729037
"ERAP2","ERAP2",175.946209099702,0.133856096486834,0.125194566134218,1.06918455504955,0.284986516822781,0.432802706553591
"NAAA","NAAA",17.6341156742087,0.134598620966295,0.33115715640817,0.406449380186108,0.6844124432942,0.801938567492338
"BCAP31","BCAP31",1278.3535814503,0.134619446125753,0.0605025358374313,2.22502155095568,0.0260797914366137,0.0630312523713943
"ASL","ASL",218.831897302712,0.13481146421348,0.116049002388755,1.16167706260733,0.245366666226226,0.387457532261188
"SNORA9","SNORA9",32.3119915737674,0.135015096295914,0.249294967597275,0.541587732785786,0.588102544460057,0.728530354245257
"STAT1","STAT1",32.0681114957688,0.135282774529985,0.277604577039612,0.487321844519449,0.626030269674798,0.758358654443078
"LOC100132831","LOC100132831",68.8279715338601,0.135709171527036,0.170784219726791,0.794623600143703,0.42683248595551,0.581595026567044
"MYBL2","MYBL2",99.86526976048,0.135773325794029,0.152645839405274,0.889466272536594,0.373752541663836,0.528373456160381
"PIP4K2B","PIP4K2B",282.125894416483,0.136150814755178,0.0912681239308253,1.49176743085428,0.135760124836609,0.243866899367473
"ASF1B","ASF1B",136.988727567755,0.136374921453287,0.167613849947927,0.813625613251263,0.415859460106041,0.571831513472178
